razon_social,nombre_producto,numero_autorizacion,especies_autorizadas
"Nuplen Comercializadora, S.A. de C.V.",Iniciador Premium 450,A-0989-030,bov leche
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral Nuplen Para Ganado Bovino Lechero Con 14% Fosforo y 7% Calcio Especial,A-0989-033,bov
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral Nuplen Para Ganado Bovino Lechero Con 12% Fosforo y 7% Calcio Especial,A-0989-034,bov
"Nuplen Comercializadora, S.A. de C.V.",C.M. Vaquillas 481,A-0989-035,bov
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 443 Con 14% de Fosforo,A-0989-036,bov
"Nuplen Comercializadora, S.A. de C.V.",Iniciacion Bovino Lechero 300,A-0989-045,alimento balanceado medicado con monensina sodica para becerras de reemplazo
"Nuplen Comercializadora, S.A. de C.V.",Microvit Produccion 3003,A-0989-047,bov
"Nuplen Comercializadora, S.A. de C.V.",Iniciador 3387,A-0989-052,becerros
"Nuplen Comercializadora, S.A. de C.V.",Nucleo 3370,A-0989-053,suplemento proteico medicado para vacas en produccio
"Nuplen Comercializadora, S.A. de C.V.",Alimento 3361,A-0989-055,alimento balanceado para vacas en produccion
"Nuplen Comercializadora, S.A. de C.V.",Nucleo 3310,A-0989-057,bov
"Nuplen Comercializadora, S.A. de C.V.",Nucleo 3351,A-0989-058,bovinos de leche
"Nuplen Comercializadora, S.A. de C.V.",Núcleo Reto 2048,A-0989-061,bovinos de leche
"Nuplen Comercializadora, S.A. de C.V.",Desarrollo Becerras Hp 1720,A-0989-067,bov
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3524,A-0989-069,bov
"Nuplen Comercializadora, S.A. de C.V.","C. Mineral 77 12% P, 11% Ca C/Lon",A-0989-070,bov. leche
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3368,A-0989-071,bov
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3373,A-0989-072,bov lech
"Nuplen Comercializadora, S.A. de C.V.",Nucleo Secas 448,A-0989-074,bov lec
"Nuplen Comercializadora, S.A. de C.V.",Suplemento Mineral 2811,A-0989-078,sin dato
"Nuplen Comercializadora, S.A. de C.V.",C.M. Vaquillas 2584,A-0989-082,bov
"Nuplen Comercializadora, S.A. de C.V.",Nucleo 3357,A-0989-088,bov. leche
"Nuplen Comercializadora, S.A. de C.V.",Alimento 2745,A-0989-092,almento balanceado medicado con monensina sodica para vaquillas de reemplazo
"Nuplen Comercializadora, S.A. de C.V.",Nucleo 3359,A-0989-094,bov. leche
"Nuplen Comercializadora, S.A. de C.V.",Nucleo 4422,A-0989-096,suplemento proteico medicado con virginiamicina para vacas lecheras
"Nuplen Comercializadora, S.A. de C.V.",Nucleo Reto 3372,A-0989-097,suplemento proteico para vacas antes del parto
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3295,A-0989-100,bov lech
"Nuplen Comercializadora, S.A. de C.V.",Dilucion Zilmax 3547,A-0989-108,bov eng
"Nuplen Comercializadora, S.A. de C.V.",Alimento 3445,A-0989-111,bov. leche
"Nuplen Comercializadora, S.A. de C.V.",Nucleo Reto 3443,A-0989-114,sin dato
"Nuplen Comercializadora, S.A. de C.V.",Nucleo 3486,A-0989-121,bov
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3498,A-0989-123,bov lech
"Nuplen Comercializadora, S.A. de C.V.",Nucleo 3494,A-0989-125,bov
"Nuplen Comercializadora, S.A. de C.V.",Nucleo Reto 3496,A-0989-127,bov
"Nuplen Comercializadora, S.A. de C.V.",Iniciador Nuplen Supra 3580,A-0989-131,bov
"Nuplen Comercializadora, S.A. de C.V.",Alimento Iniciador 3512,A-0989-141,bov
"Nuplen Comercializadora, S.A. de C.V.",Nucleo 3525,A-0989-147,bov
"Nuplen Comercializadora, S.A. de C.V.",Mineral Reto 1547,A-0989-149,bov
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3463,A-0989-152,bov
"Nuplen Comercializadora, S.A. de C.V.",Microvit Secas 3002,A-0989-153,bov
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3466,A-0989-154,bov lech
"Nuplen Comercializadora, S.A. de C.V.",C.M. 3031 Reto,A-0989-156,bov lech
"Nuplen Comercializadora, S.A. de C.V.",C.M. 3343 Reto,A-0989-157,bov leche
"Nuplen Comercializadora, S.A. de C.V.",C.M. 3283 Produccion,A-0989-158,bov
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3194,A-0989-159,bov leche
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral,A-0989-160,bov
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3321,A-0989-161,bov. leche
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 443 Con 14% de Fosforo,A-0989-162,bov
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3475,A-0989-163,bov lech
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral,A-0989-164,bov
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3530,A-0989-165,bov
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3492,A-0989-166,bov
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral,A-0989-167,bov
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3540,A-0989-168,bov eng
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3538,A-0989-169,bov
"Nuplen Comercializadora, S.A. de C.V.",Alimento Iniciador 3541,A-0989-170,bov
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3344,A-0989-171,bov lech
"Nuplen Comercializadora, S.A. de C.V.",C. Mineral 3252 Vaquillas,A-0989-174,bov lech
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3453,A-0989-175,bov
"Nuplen Comercializadora, S.A. de C.V.",Nucleo 3539,A-0989-176,bov
"Nuplen Comercializadora, S.A. de C.V.",Iniciador High Tech 26 6500,A-0989-177,bov lech
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3324,A-0989-178,bov lech
"Nuplen Comercializadora, S.A. de C.V.",Suplemento Mineral Grower 3549,A-0989-182,bov lech
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3556 Engorda,A-0989-184,bov
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3542,A-0989-187,bov lech
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3545,A-0989-188,bov lech
"Nuplen Comercializadora, S.A. de C.V.",Nucleo Produccion 3460,A-0989-189,bov. leche
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3464 Medias,A-0989-190,bov. leche
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3552,A-0989-191,bov
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3555,A-0989-192,bov
"Nuplen Comercializadora, S.A. de C.V.",Nucleo Produccion 3516,A-0989-193,bov. leche
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3560,A-0989-194,bov
"Nuplen Comercializadora, S.A. de C.V.",Nucleo Reto 3558,A-0989-195,bov. leche
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3566 Produccion,A-0989-197,bov. leche
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3132,A-0989-204,bov (productores de leche en etapa de producción)
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3202,A-0989-205,bov (productores de leche próximas al parto)
"Nuplen Comercializadora, S.A. de C.V.",Complemtno Mineral 3472,A-0989-206,bov (vacas en producción de leche)
"Nuplen Comercializadora, S.A. de C.V.",Alimento 0202,A-0989-211,bov
"Nuplen Comercializadora, S.A. de C.V.",Alimento 3362,A-0989-222,bov lec
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral Producción 3590,A-0989-230,0 dias
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3587 Reto,A-0989-231,bov (próximas al parto)
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral Vaquillas 3591,A-0989-232,bov (vaquillas de reemplazo)
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3592 Reto,A-0989-234,bov
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 2424 Reti,A-0989-236,bov (vacas próximas al parto)
"Nuplen Comercializadora, S.A. de C.V.",Complemento Mineral 3586 Vaquillas Reto,A-0989-237,bov (vacas próximas al parto)
"Nuplen Comercializadora, S.A. de C.V.",Alimento 3137,A-0989-242,bov (leche)
"Nuplen Comercializadora, S.A. de C.V.",Núcleo Producción 3450,A-0989-247,bov
"Nuplen Comercializadora, S.A. de C.V.",Nucleo Reto 3468,A-0989-110,bov lech
"Nuplen Comercializadora, S.A. de C.V.",Nucleo Reto 3449,A-0989-112,bov lech
"Nuplen Comercializadora, S.A. de C.V.",Alimento Desarrollo 3469,A-0989-113,bov (becerras reemplazo)
"Nuplen Comercializadora, S.A. de C.V. (División Alimentos)",Complementos Mineral 2693,A-0989-186,bov (productora de leche)
"Nuplen Comercializadora, S.A. de C.V. (División Alimentos)",Complementos Mineral 3594,A-0989-208,bov (producción)
"Nuplen Comercializadora, S.A. de C.V. (Division de Alimentos)",Complemento Mineral Secas 3588,A-0989-223,bov lec
"Nuplen Comercializadora, S.A. de C.V. (Division de Alimentos)",Suplemento Vaquillas 2469,A-0989-224,bov lec
"Nuplen Comercializadora, S.A. de C.V. (Division de Alimentos)",Núcleo Reto 3442,A-0989-240,bov lec
"Nuplen Comercializadora, S.A. de C.V. (División de Alimentos)",Alimento Reto 3256,A-0989-203,bov (próximas al parto)
"Nuplen Comercializadora, S.A. de C.V. (Division de Alimentos)",Complemento Mineral 3584 Producción,A-0989-212,bov lech
Nutek S.A. de C.V.,Alimento Impulsor 0 Verano Alpes I,A-7656-057,sin dato
"Nutek, S.A. de C.V.",Zeolex Extra,A-7356-002,"ave (postura, reproductoras, pollo de engorda,) por(engorda, bov (leche y carne)"
"Nutek, S.A. de C.V.",Zeotek,A-7356-004,"ave (postura, reproductoras, pollo de engorda,) por(engorda, bov (leche y carne)"
"Nutek, S.A. de C.V.",Duotek,A-7356-007,"ave (postura, reproductoras, pollo de engorda,) por(engorda, bov (leche y carne)"
"Nutek, S.A. de C.V.",Mycolys,A-7356-014,uso para alimento en animales
"Nutek, S.A. de C.V.",Zeotri,A-7356-020,sin dato
"Nutek, S.A. de C.V.",Alimento Iniciacion Invierno-Verano,A-7356-027,alimento balanceado para aves reproductoras ligeras en la etapa de iniciacion
"Nutek, S.A. de C.V.",Alimento Pre-Iniciacion Invierno-Verano,A-7356-030,alimento balanceado para aves reproductoras ligeras en la etapa de pre-iniciacion
"Nutek, S.A. de C.V.",Alimento Crecimiento Invierno-Verano,A-7356-031,ave rep
"Nutek, S.A. de C.V.",Alimento Desarrollo Invierno-Verano,A-7356-032,ave rep
"Nutek, S.A. de C.V.",Alimento Impulsor 2 Verano,A-7356-033,alimento balanceado para gallinas reproductoras ligeras en produccion durante la fase del pico de postura
"Nutek, S.A. de C.V.",Alimento Postura F-3 Verano,A-7356-035,alimento balanceado para gallinas reproductoras ligeras en produccion
"Nutek, S.A. de C.V.",Alimento Impulsor 1 Verano,A-7356-039,alimento balanceado para galllinas reproductoras ligeras en la etapa de produccion durante la fase del pre-pico de postura
"Nutek, S.A. de C.V.",Alimento Impulsor 1 Verano Alpes I,A-7356-041,ave reproductor
"Nutek, S.A. de C.V.",Alimento Impulsor 2 Verano Alpes I,A-7356-042,ave reproductor
"Nutek, S.A. de C.V.",Alimento Postura F-1 Verano Alpes I,A-7356-043,ave reproductor
"Nutek, S.A. de C.V.",Alimento Postura F-2 Verano Alpes I,A-7356-044,ave reproductor
"Nutek, S.A. de C.V.",Alimento Postura F-3 Verano Alpes I,A-7356-045,ave reproductor
"Nutek, S.A. de C.V.",Alimento Pre-Iniciación Invierno-Verano Alpes I,A-7356-046,ave reproductor
"Nutek, S.A. de C.V.",Alimento Iniciación Invierno-Verano Alpes I,A-7356-047,ave reproductor
"Nutek, S.A. de C.V.",Alimento Crecimiento Invierno-Verano Alpes I,A-7356-048,aves reprod
"Nutek, S.A. de C.V.",Alimento Desarrollo Invierno-Verano Alpes I,A-7356-049,aves reprod
"Nutek, S.A. de C.V.",Alimento Postura F-5 Verano,A-7356-055,ave pos
"Nutek, S.A. de C.V.",Alimentos Cerdos Sementales,A-7356-056,por
"Nutek, S.A. de C.V.",Alimento Postura F-5,A-7356-058,ave pos
"Nutek, Sa de Cv.",Alimento Impulsor 0 Verano,A-7356-029,ave
"Nutek, Sa de Cv.",Alimento Postura F-2 Verano,A-7356-034,ave
"Nutek, Sa de Cv.",Alimento Postura F-4 Verano,A-7356-037,ave
"Nutek, Sa de Cv.",Alimento Postura F-1 Verano,A-7356-038,ave
"Nutri Sow, S.A. de C.V.",Can Sow,A-0597-004,can
"Nutri Sow, S.A. de C.V.",Centauro 14,A-0597-005,equi
"Nutri Sow, S.A. de C.V.",Cerdos Final Magro,A-0597-009,por
"Nutrican Mexicana, S.A. de C.V.",Sultan,A-0707-002,alimento balanceado para perros
"Nutrican Mexicana, S.A. de C.V.",Nutricerdo 36%,A-0707-003,alimento concentrado para cerdos
Nutricion Animal Avanzada Sa de Cv,Emperador Substituto de Leche Para Perros,A-7931-003,can
Nutricion Animal Avanzada Sa de Cv,Emperador Top Milk Nutrition Sow Milk Replacer,A-7931-006,por
Nutricion Animal Avanzada Sa de Cv,Emperador Top Milk Nutrition Kid Milk Replacer,A-7931-007,cap
Nutricion Animal Avanzada Sa de Cv,Emperador Top Milk Nutrition Lamb Milk Replacer,A-7931-008,ovi
"Nutricion Animal Avanzada, S.A de C.V",Nutri-Lac Substituto de Leche Para Becerros Vitaminado y Medicado Con Oxitatraciclina,A-7931-001,bov (becerros)
"Nutricion Animal Avanzada, S.A de C.V",Emperador Substituto de Leche Para Becerros Medicado Con Oxitetraciclina,A-7931-002,bov (becerros)
"Nutricion Animal Avanzada, S.A de C.V",Super Crianza Substituto de Leche Para Becerros Medicado Con Oxitetraciclina,A-7931-004,bov (becerros)
"Nutricion Animal Avanzada, S.A. de C.V.",Emperados Top Milk Nutrition Foal Milk Replacer,A-0707-005,substituto de leche para potrillos
"Nutricion Animal Avanzada, S.A. de C.V.",Kattito By Emperador,A-7931-009,fel
"Nutricion Avanzada, S.A. de C.V.",Certillus Dairy,A-7559-002,bov. leche
"Nutrición Avanzada, S.A. de C.V.",Certillus Cp Dairy,A-7559-001,bov lech
Nutricion de Mascotas Sa de Cv,Natures Corner Dog Food,A-10280-004,can
Nutricion de Mascotas Sa de Cv,Greenberrier Kennel Club Dog Food,A-10280-005,can
Nutricion de Mascotas Sa de Cv,Natures Corner Cat Food,A-10280-006,fel
"Nutricion Planificada, S.A. de C.V.",Carbuffer,A-6173-003,"bov lech, bov car, ovi, cap"
"Nutricion Tecnica Animal, S.A. de C.V.",Alimento Cerdo Final,A-6974-005,sin dato
Nutrientes Basicos de Monterrey S.A. de C.V.,Alimento Ponedora Impulsor,A-6239-048,ave pos
"Nutrientes Basicos de Monterrey, S.A. de C.V",Base Lechera 30/30 Plus,A-6239-039,bov
"Nutrientes Basicos de Monterrey, S.A. de C.V.",Nutrigan Final 75/40 Zilmax,A-6239-038,bov eng
Nutrientes y Aditivos Técnicos S. de R.L. de C.V.,Digestor,A-10508-002,"can, fel"
"Nutrigafer, S.A. de C.V.",Super Campeon Caballo 14%,A-7297-001,equi
"Nutrigafer, S.A. de C.V.",Super Campeon Caballo 12%,A-7297-002,equi
"Nutrigafer, S.A. de C.V.",Súper Campeón Caballo 10%,A-7297-003,equi
"Nutrigafer, S.A. de C.V.",Super Campeon Borrego Iniciacion,A-7297-020,ovinos
"Nutrigafer, S.A. de C.V.",Super Campeon Borrego Finalizador,A-7297-021,ovi
"Nutrigafer, S.A. de C.V.",Alpha Cachorro,A-7297-031,perros
"Nutrigafer, S.A. de C.V.",Campeon Linea Montada,A-7297-032,equiinos
"Nutrikowi Alimentos, S.A. de C.V.",Kinder Piglet,A-0290-001,por
"Nutrikowi Alimentos, S.A. de C.V.",Pre Sew,A-0290-002,por
"Nutrikowi Alimentos, S.A. de C.V.",Sew,A-0290-003,alimento preiniciador para cerdos (lechones)
"Nutrikowi Alimentos, S.A. de C.V.",Especial Wean,A-0290-004,alimento preiniciador para cerdos (lechones)
"Nutrikowi Alimentos, S.A. de C.V.",Super Wean,A-0290-005,por
"Nutrikowi Alimentos, S.A. de C.V.",9-15 Plus,A-0290-006,por
"Nutrikowi Alimentos, S.A. de C.V.",Fase 4,A-0290-009,por
"Nutrikowi Alimentos, S.A. de C.V.",Fase 5,A-0290-010,por
"Nutrikowi Alimentos, S.A. de C.V.",Fase 6,A-0290-011,por
"Nutrikowi Alimentos, S.A. de C.V.",Fase 7,A-0290-012,por
"Nutrikowi Alimentos, S.A. de C.V.",Fase 8,A-0290-013,por
"Nutrikowi Alimentos, S.A. de C.V.",Gestacion,A-0290-014,por
"Nutrikowi Alimentos, S.A. de C.V.",Lactancia Adulto,A-0290-015,por
"Nutrikowi Alimentos, S.A. de C.V.",Lactancia Primeriza,A-0290-016,por
"Nutrikowi Alimentos, S.A. de C.V.",Reemplazo 1,A-0290-017,por
"Nutrikowi Alimentos, S.A. de C.V.",Reemplazo 2,A-0290-018,por
"Nutrikowi Alimentos, S.A. de C.V.",Reemplazo 3,A-0290-019,por
"Nutrikowi Alimentos, S.A. de C.V.",Sementales,A-0290-020,por
"Nutrilan, S.A. de C.V.",Aqua Amino,A-9581-001,"aves, cer, bov"
"Nutrilan, S.A. de C.V.",Mycopurge Plus,A-9581-002,"bov car, bov lec, por, ave eng, ave pos, ovi, cap, pavos, patos, equ, can, fel"
"Nutrilan, S.A. de C.V.",Bioyeastar,A-9581-003,"bov, cer, aves, mascotas"
"Nutrimentos Balanceados Abastos, S.A. de C.V.",Ultra Pet Adulto,A-10935-001,can
"Nutrimentos Balanceados Abastos, S.A. de C.V.",Ultra Pet Razas Pequeñas,A-10935-002,can
"Nutrimentos Balanceados Abastos, S.A. de C.V.",Ultrapet Puppy,A-10935-003,can
"Nutrimentos Basicos de Monterrey, S.A. de C.V.",Base Nubalean 10/28,A-6239-021,por
Nutrimentos Concentra S.A. de C.V.,Dogmext,A-6412-013,can
Nutrimentos Concentra S.A. de C.V.,Micro Lactancia,A-6412-021,no aplica
"Nutrimentos Concentra, S.A. de C.V.",Concentrado Crecimiento,A-1060,por
"Nutrimentos Concentra, S.A. de C.V.",2 Colores Fat,A-6412-002,can
"Nutrimentos Concentra, S.A. de C.V.",Ecocan Adulto 4C,A-6412-003,sin dato
"Nutrimentos Concentra, S.A. de C.V.",Alimento Para Crecimiento de Pollas,A-6412-004,aves (pollas)
"Nutrimentos Concentra, S.A. de C.V.",Butcher´S Pride Adult Dog,A-6412-007,perros
"Nutrimentos Concentra, S.A. de C.V.",Butcher´S Pride Puppy,A-6412-008,perros
"Nutrimentos Concentra, S.A. de C.V.",Butcher´S Pride Minis,A-6412-009,perros
"Nutrimentos Concentra, S.A. de C.V.",Minidog,A-6412-010,can
"Nutrimentos Concentra, S.A. de C.V.",Micro Ganado Final Con Zilpalterol,A-6412-027,bov car
"Nutrimentos Concentra, S.A. de C.V.",Kanino Premium,A-6412-030,can
"Nutrimentos Concentra, S.A. de C.V.",Alimento Creep Feeding Corderos,A-6412-031,ovi
"Nutrimentos Concentra, S.A. de C.V.",Alimento Borregos Desarrollo,A-6412-032,ovi
"Nutrimentos Concentra, S.A. de C.V.",Alimento Borregos Engorda,A-6412-033,ovi
"Nutrimentos Concentra, S.A. de C.V.",Alimento Borregas Reproductoras y Sementales,A-6412-034,ovi
"Nutrimentos Concentra, S.A. de C.V.",Acticat,A-6412-044,fel
"Nutrimentos Concentra, S.A. de C.V.",Actican Cachorros,A-6412-045,can
"Nutrimentos Concentra, S.A. de C.V.",Alimento Crecimiento,A-6412-055,alimento balanceado para cerdos en crecimiento
"Nutrimentos Concentra, S.A. de C.V.",Alimento Finalizador Pollo de Engorda,A-6412-059,alimento balanceado para pllos de engorda
"Nutrimentos Concentra, S.A. de C.V.",Alimento Iniciador de Pollo de Engorda,A-6412-060,alimento balanceado para pollo de engorda
"Nutrimentos Concentra, S.A. de C.V.",Alimento Lactancia,A-6412-064,por
"Nutrimentos Concentra, S.A. de C.V.",Sustituto de Leche Granjero,A-6412-069,becerros
"Nutrimentos Concentra, S.A. de C.V.",Destete Becerros,A-6412-071,ovi
"Nutrimentos Concentra, S.A. de C.V.",Concentrado Finalizador,A-6412-088,por
"Nutrimentos Concentra, S.A. de C.V.",Concentrado Desarrollo,A-6412-089,por
"Nutrimentos Concentra, S.A. de C.V.",Concentrado Finalizador Con Ractopamina,A-6412-091,por
"Nutrimentos Concentra, S.A. de C.V.",Finalizador Con Ractopamina,A-6412-092,alimento balanceado con ractopamina para cerdos
"Nutrimentos Concentra, S.A. de C.V.",Micro Finalizador Con Ractopamina,A-6412-093,por
"Nutrimentos Concentra, S.A. de C.V.",Alimento Super Lechero 18%,A-6412-136,bov lech
"Nutrimentos Concentra, S.A. de C.V.",Concentrado Gestacion,A-6412-139,por (cerdas gestantes)
"Nutrimentos Concentra, S.A. de C.V.",Concentrado Lactancia,A-6412-142,por (cerdas lactantes)
Nutrimentos de Valor Sa de Cv,Dimax,A-10542-005,"ave, por"
"Nutrimentos de Valor, S.A. de C.V.",Beta-Mannanase,A-10542-002,"ave eng, ave repr, ave post, por, bov. carne y leche,"
"Nutrimentos Minerales de Hidalgo, S.A. de C.V.",Adsormax A,A-6184-007,"ave, bov, por, ovi"
"Nutrimentos Minerales de Hidalgo, S.A. de C.V.",Adsormax Z,A-6184-008,"ave, bov, por, ovi"
Nutrimentos Ramirez Sa de Cv,Ganado Lechero Normal 16%,A-7485-009,bov
"Nutrimentos Ramirez, S.A. de C.V.",Cerdos Desarrollo,A-7485-001,sin dato
"Nutrimentos Ramirez, S.A. de C.V.",Iniciador Especial,A-7485-008,por
"Nutrimentos Ramirez, S.A. de C.V.",Final Extramagro,A-7485-010,sin dato
"Nutrimentos Ramirez, S.A. de C.V.",Preiniciador Formula Fase 1,A-7485-011,por
"Nutrimentos Ramirez, S.A. de C.V.",Preiniciador Formula 7-14 Fase 2,A-7485-012,por
Nutrimyn Cerdos Desarrollo,Nutrimyn Cerdos Desarrollo,A-0005-003,alimento balanceado para cerdos
"Nutriservicios Pecuarios, S.P.R. de R.L.",Ns 2,A-9897-003,por
"Nutrix, S. A. de C. V.",Star-Mix Iniciación (D37),A-7796-019,por
"Nutrix, S. A. de C. V.",Star-Mix Iniciación (D37),A-7796-219,por
"Nutrix, S.A. de C. V.",Star-Vak Lechero,A-7796-028,bov lech
"Nutrix, S.A. de C.V",Star-Mix Finalizador (D1.5),A-7796-065,por
"Nutrix, S.A. de C.V.",Star Mix Iniciacion (D32),A-7796-017,cerdos
"Nutrix, S.A. de C.V.",Star Mix Iniciacion,A-7796-018,por
"Nutrix, S.A. de C.V.",Star-Mix Preiniciador 1,A-7796-021,por
"Nutrix, S.A. de C.V.",Star-Mix Preiniciador 2,A-7796-022,premezcla alimenticia para el alimento
"Nutrix, S.A. de C.V.",Star-Mix Preiniciador 2,A-7796-023,premezcla alimenticia para agregar al alimento para cerdos
"Nutrix, S.A. de C.V.",Star-Vak Engorda,A-7796-030,bov car
"Nutrix, S.A. de C.V.",Star-Mix Desarrollo (D10.5),A-7796-043,cerdos en desarrollo
"Nutrix, S.A. de C.V.",Star-Mix Finalizador (D11),A-7796-050,premezcla alimentica medicada con ractopamina para cerdos
"Nutrix, S.A. de C.V.",Star-Mix Finalizador (D12),A-7796-051,por
"Nutrix, S.A. de C.V.",Star-Mix Finalizador (D16),A-7796-052,cer
"Nutrix, S.A. de C.V.",Star-Mix Finalizador ( D18),A-7796-053,por
"Nutrix, S.A. de C.V.",Star-Mix Finalizador (D25),A-7796-054,por
"Nutrix, S.A. de C.V.",Star-Mix Finalizador (D14),A-7796-055,por
"Nutrix, S.A. de C.V.",Starm-Mix Finalizador 5 (D22),A-7796-056,por
"Nutrix, S.A. de C.V.",Starm-Mix Finalizador (D24),A-7796-057,por
"Nutrix, S.A. de C.V.",Star-Mix Finalizador (D14),A-7796-058,por
"Nutrix, S.A. de C.V.",Star-Mix Finalizador (D15),A-7796-060,por
"Nutrix, S.A. de C.V.",Star-Mix Finalizador (D19),A-7796-066,sin dato
"Nutrix, S.A. de C.V.",Star-Mix Finalizador (D22),A-7796-096,cerdos de engorda
"Nutrix, S.A. de C.V.",Star-Mix Finalizador,A-7796-097,por
"Nutrix, S.A. de C.V.",Star-Mix Finalizador,A-7796-098,por
"Nutrix, S.A. de C.V.",Star Mix Finalizador,A-7796-099,por
"Nutrix, S.A. de C.V.",Star-T 1,A-7796-101,por
"Nutrix, S.A. de C.V.",Star-T 2,A-7796-102,por
"Nutrix, S.A. de C.V.",Star-T3,A-7796-103,cerdos lechones
"Nutrix, S.A. de C.V.",Star-T 0,A-7796-104,por
"Nutrix, S.A. de C.V.",Star Mix Finalizador,A-7796-105,por
"Nutrix, S.A. de C.V.",Star Mix Finalizador,A-7796-106,por
"Nutrix, S.A. de C.V.",Chik-Mix Pollo 1 (A15),A-7796-124,sin dato
"Nutrix, S.A. de C.V.",Chik-Mix Pollo 2 (A16),A-7796-125,ave eng
"Nutrix, S.A. de C.V.",Chik-Mix 3 (D9),A-7796-126,ave engorda
"Nutrix, S.A. de C.V.",Chik-Mix 4 (D8),A-7796-127,ave engorda
"Nutrix, S.A. de C.V.",Chik-Mix Reproductora 1 Hembras,A-7796-138,ave reproductora
"Nutrix, S.A. de C.V.",Star Mix Iniciacion (D32),A-7796-201,por
"Nutrix, S.A. de C.V.",Star-Mix Preiniciador 1,A-7796-365,premezcla alimenticia para agregar al alimento para cerdos
"Nutrix, S.A. de C.V.",Star-Mix Reemplazo 1 (D5),A-7796-090,por (reemplazo)
"Nutrix, S.A. de C.V.",Star-Mix Reemplazo 2 (D5),A-7796-091,por (reemplazo)
"Nutrix, S.A. de C.V.",Star-Mix Reemplazo 1 (D5),A-7796-290,por (reemplazo)
"Nutrix, S.A. de C.V.",Star-Mix Reemplazo 2 (D5),A-7796-291,por (reemplazo)
"Nutryplus, S.A.P.I. de C.V.",Agropec,A-9138-003,todas las especies
"Nutryplus, S.A.P.I. de C.V.",Glutec,A-9138-005,"bov, ov, cap por, avi"
"Nutryplus, S.A.P.I. de C.V.",Glutec Líquido,A-9138-008,"bov eng, bov lec, ovi, capri, por y ave"
"Nutryplus, S.A.P.I. de C.V.",Agrolax Polvo,A-9138-009,inhibidor de hongos y bactericida para el alimento balanceado
"Nutryplus, S.A.P.I. de C.V.",Propionato de Calcio Feed,A-9138-015,"bov, ovi, cap"
"Nutryplus, S.A.P.I. de C.V.",Green Tonic,A-9138-017,por
"Nutryplus, S.A.P.I. de C.V.",Suavigrain Plus,A-9138-018,sin dato
"Nutryplus, S.A.P.I. de C.V.",Butyron,A-9138-019,"adicionado para elaborar alimento para por, ave eng, ave post, pavos, prerumiantes (becerros, corderos, cabritos), conejos."
"Nutryplus, S.A.P.I. de C.V.",Nuprocal Plus,A-9138-020,consumo animal
"Nutryplus, S.A.P.I., de C.V",Kofa Feed,A-9138-011,uso en el alimento para animales
"Nutryplus, S.A.P.I., de C.V.",Addcon Xf Superfine,A-9138-010,"ave,cer,fel,can"
"Nutryplus, S.Ap.I. de C.V.",Formi,A-9138-006,por
"Nutryplus, S.Ap.I. de C.V.",Formi Ndf,A-9138-007,"ave eng, ave pos, por, reproductoras"
Octavio Rangel González,Pet Choice Cachorro,A-1144-001,can
Octavio Rangel González,Pet Choice Adulto,A-1144-002,can
